instance,run,seed,profit,weight,capacity,time_ms,valid,algorithm
10I1,1,32162,2210,2000,2000,0,true,Greedy_MaxProfit
10I2,1,6270,2210,2000,2000,0,true,Greedy_MaxProfit
10I3,1,23143,2210,2000,2000,0,true,Greedy_MaxProfit
10I4,1,23382,2210,2000,2000,0,true,Greedy_MaxProfit
10I5,1,19099,2210,2000,2000,0,true,Greedy_MaxProfit
1I1,1,10784,2000,1800,1800,0,true,Greedy_MaxProfit
1I2,1,30616,1988,1798,1800,0,true,Greedy_MaxProfit
1I3,1,15890,2000,1800,1800,0,true,Greedy_MaxProfit
1I4,1,27463,1990,1800,1800,0,true,Greedy_MaxProfit
1I5,1,26304,1990,1800,1800,0,true,Greedy_MaxProfit
2I1,1,15781,1753,1563,1800,0,true,Greedy_MaxProfit
2I2,1,17074,1803,1603,1800,0,true,Greedy_MaxProfit
2I3,1,10136,1851,1630,1800,0,true,Greedy_MaxProfit
2I4,1,15617,1985,1755,1800,0,true,Greedy_MaxProfit
2I5,1,32174,1979,1769,1800,0,true,Greedy_MaxProfit
3I1,1,29055,1315,1175,1800,0,true,Greedy_MaxProfit
3I2,1,2016,1407,1257,1800,0,true,Greedy_MaxProfit
3I3,1,6940,1390,1250,1800,0,true,Greedy_MaxProfit
3I4,1,23486,1396,1246,1800,0,true,Greedy_MaxProfit
3I5,1,14526,1365,1215,1800,0,true,Greedy_MaxProfit
4I1,1,16157,981,871,1800,0,true,Greedy_MaxProfit
4I2,1,26763,1118,1008,1800,0,true,Greedy_MaxProfit
4I3,1,28504,1109,999,1800,0,true,Greedy_MaxProfit
4I4,1,27948,1209,1089,1800,0,true,Greedy_MaxProfit
4I5,1,5319,859,759,1800,0,true,Greedy_MaxProfit
5I1,1,7534,1990,1800,1800,0,true,Greedy_MaxProfit
5I2,1,127,1990,1800,1800,0,true,Greedy_MaxProfit
5I3,1,13018,1990,1800,1800,0,true,Greedy_MaxProfit
5I4,1,32507,1990,1800,1800,0,true,Greedy_MaxProfit
5I5,1,11957,1990,1800,1800,0,true,Greedy_MaxProfit
6I1,1,23720,2210,2000,2000,0,true,Greedy_MaxProfit
6I2,1,10883,2210,2000,2000,0,true,Greedy_MaxProfit
6I3,1,32633,2210,2000,2000,0,true,Greedy_MaxProfit
6I4,1,11320,2210,2000,2000,0,true,Greedy_MaxProfit
6I5,1,2057,2210,2000,2000,0,true,Greedy_MaxProfit
7I1,1,28529,2220,2000,2000,0,true,Greedy_MaxProfit
