instance,run,seed,profit,weight,capacity,time_ms,valid,algorithm
10I1,1,216,2540,2000,2000,10000,true,ILS
10I1,2,30288,2559,1999,2000,10000,true,ILS
10I1,3,18661,2550,2000,2000,10000,true,ILS
10I1,4,24762,2580,2000,2000,10000,true,ILS
10I1,5,683,2530,2000,2000,10000,true,ILS
10I2,1,2547,2543,1993,2000,10000,true,ILS
10I2,2,13504,2538,1998,2000,10000,true,ILS
10I2,3,8387,2538,1998,2000,10000,true,ILS
10I2,4,30885,2539,1999,2000,10000,true,ILS
10I2,5,16321,2540,2000,2000,10000,true,ILS
10I3,1,1280,2530,2000,2000,10000,true,ILS
10I3,2,30833,2549,1999,2000,10000,true,ILS
10I3,3,29422,2550,2000,2000,10000,true,ILS
10I3,4,26447,2570,2000,2000,10000,true,ILS
10I3,5,27300,2560,2000,2000,10000,true,ILS
10I4,1,26473,2480,2000,2000,10000,true,ILS
10I4,2,21273,2540,2000,2000,10000,true,ILS
10I4,3,17277,2539,1999,2000,10000,true,ILS
10I4,4,27710,2549,1999,2000,10000,true,ILS
10I4,5,13152,2529,1999,2000,10000,true,ILS
10I5,1,3883,2560,2000,2000,10000,true,ILS
10I5,2,8385,2530,2000,2000,10000,true,ILS
10I5,3,16373,2550,2000,2000,10000,true,ILS
10I5,4,31993,2560,2000,2000,10000,true,ILS
10I5,5,29466,2530,2000,2000,10000,true,ILS
1I1,1,12383,2445,1793,1800,10000,true,ILS
1I1,2,21645,2493,1800,1800,10000,true,ILS
1I1,3,11926,2411,1799,1800,10000,true,ILS
1I1,4,9715,2495,1792,1800,10000,true,ILS
1I1,5,23718,2545,1795,1800,10000,true,ILS
1I2,1,30599,2522,1800,1800,10000,true,ILS
1I2,2,3774,2470,1799,1800,10000,true,ILS
1I2,3,11548,2527,1794,1800,10000,true,ILS
1I2,4,19637,2491,1799,1800,10000,true,ILS
1I2,5,30438,2421,1800,1800,10000,true,ILS
1I3,1,28539,2290,1800,1800,10000,true,ILS
1I3,2,22059,2280,1800,1800,10000,true,ILS
1I3,3,9798,2280,1800,1800,10000,true,ILS
1I3,4,32765,2287,1797,1800,10000,true,ILS
1I3,5,28276,2286,1796,1800,10000,true,ILS
1I4,1,22297,2270,1800,1800,10000,true,ILS
1I4,2,4940,2279,1799,1800,10000,true,ILS
1I4,3,18581,2270,1800,1800,10000,true,ILS
1I4,4,25703,2280,1800,1800,10000,true,ILS
1I4,5,26529,2277,1797,1800,10000,true,ILS
1I5,1,22634,2290,1800,1800,10000,true,ILS
1I5,2,32230,2300,1800,1800,10000,true,ILS
1I5,3,18622,2300,1800,1800,10000,true,ILS
1I5,4,22572,2290,1800,1800,10000,true,ILS
1I5,5,14495,2300,1800,1800,10000,true,ILS
2I1,1,9145,1835,1625,1800,10000,true,ILS
2I1,2,29410,1835,1625,1800,10000,true,ILS
2I1,3,8191,1835,1625,1800,10000,true,ILS
2I1,4,8686,1835,1625,1800,10000,true,ILS
2I1,5,23598,1835,1625,1800,10000,true,ILS
2I2,1,8432,1947,1717,1800,10000,true,ILS
2I2,2,18242,1947,1717,1800,10000,true,ILS
2I2,3,29081,1947,1717,1800,10000,true,ILS
2I2,4,6130,1947,1717,1800,10000,true,ILS
2I2,5,15335,1947,1717,1800,10000,true,ILS
2I3,1,24655,1925,1684,1800,10000,true,ILS
2I3,2,13736,1925,1684,1800,10000,true,ILS
2I3,3,12485,1925,1684,1800,10000,true,ILS
2I3,4,28343,1925,1684,1800,10000,true,ILS
2I3,5,21831,1925,1684,1800,10000,true,ILS
2I4,1,28868,1985,1755,1800,10000,true,ILS
2I4,2,30514,1985,1755,1800,10000,true,ILS
2I4,3,15496,1985,1755,1800,10000,true,ILS
2I4,4,5899,1985,1755,1800,10000,true,ILS
2I4,5,11584,1985,1755,1800,10000,true,ILS
2I5,1,16553,2070,1800,1800,10000,true,ILS
2I5,2,9918,2079,1799,1800,10000,true,ILS
2I5,3,11982,2070,1800,1800,10000,true,ILS
2I5,4,5237,2070,1800,1800,10000,true,ILS
2I5,5,27670,2079,1799,1800,10000,true,ILS
3I1,1,29496,1575,1385,1800,10000,true,ILS
3I1,2,22900,1575,1385,1800,10000,true,ILS
3I1,3,27865,1575,1385,1800,10000,true,ILS
3I1,4,4355,1603,1423,1800,10000,true,ILS
3I1,5,32565,1575,1385,1800,10000,true,ILS
3I2,1,16674,1577,1407,1800,10000,true,ILS
3I2,2,23320,1577,1407,1800,10000,true,ILS
3I2,3,17510,1577,1407,1800,10000,true,ILS
3I2,4,31319,1577,1407,1800,10000,true,ILS
3I2,5,27029,1577,1407,1800,10000,true,ILS
3I3,1,17844,1611,1441,1800,10000,true,ILS
3I3,2,4731,1611,1441,1800,10000,true,ILS
3I3,3,31886,1611,1441,1800,10000,true,ILS
3I3,4,31627,1611,1441,1800,10000,true,ILS
3I3,5,28878,1611,1441,1800,10000,true,ILS
3I4,1,26581,1605,1425,1800,10000,true,ILS
3I4,2,17381,1605,1425,1800,10000,true,ILS
3I4,3,6869,1605,1425,1800,10000,true,ILS
3I4,4,31625,1605,1425,1800,10000,true,ILS
3I4,5,31160,1605,1425,1800,10000,true,ILS
3I5,1,22762,1732,1542,1800,10000,true,ILS
3I5,2,17232,1732,1542,1800,10000,true,ILS
3I5,3,17253,1732,1542,1800,10000,true,ILS
3I5,4,6575,1732,1542,1800,10000,true,ILS
3I5,5,11622,1732,1542,1800,10000,true,ILS
4I1,1,12314,981,871,1800,10000,true,ILS
4I1,2,22022,981,871,1800,10000,true,ILS
4I1,3,18097,981,871,1800,10000,true,ILS
4I1,4,20846,981,871,1800,10000,true,ILS
4I1,5,15035,981,871,1800,10000,true,ILS
4I2,1,1204,1118,1008,1800,10000,true,ILS
4I2,2,13952,1118,1008,1800,10000,true,ILS
4I2,3,25470,1118,1008,1800,10000,true,ILS
4I2,4,24532,1118,1008,1800,10000,true,ILS
4I2,5,26270,1118,1008,1800,10000,true,ILS
4I3,1,6231,1129,1009,1800,10000,true,ILS
4I3,2,8721,1129,1009,1800,10000,true,ILS
4I3,3,3802,1129,1009,1800,10000,true,ILS
4I3,4,16166,1129,1009,1800,10000,true,ILS
4I3,5,14788,1129,1009,1800,10000,true,ILS
4I4,1,31913,1209,1089,1800,10000,true,ILS
4I4,2,16479,1209,1089,1800,10000,true,ILS
4I4,3,1864,1209,1089,1800,10000,true,ILS
4I4,4,15858,1209,1089,1800,10000,true,ILS
4I4,5,28376,1209,1089,1800,10000,true,ILS
4I5,1,14944,957,837,1800,10000,true,ILS
4I5,2,2077,957,837,1800,10000,true,ILS
4I5,3,1847,957,837,1800,10000,true,ILS
4I5,4,3974,957,837,1800,10000,true,ILS
4I5,5,8570,957,837,1800,10000,true,ILS
5I1,1,19419,2610,1800,1800,10000,true,ILS
5I1,2,1523,2618,1798,1800,10000,true,ILS
5I1,3,1516,2630,1800,1800,10000,true,ILS
5I1,4,17294,2620,1800,1800,10000,true,ILS
5I1,5,14382,2610,1800,1800,10000,true,ILS
5I2,1,11495,2650,1800,1800,10000,true,ILS
5I2,2,24825,2640,1800,1800,10000,true,ILS
5I2,3,24109,2650,1800,1800,10000,true,ILS
5I2,4,3292,2630,1800,1800,10000,true,ILS
5I2,5,5962,2610,1800,1800,10000,true,ILS
5I3,1,30098,2600,1800,1800,10000,true,ILS
5I3,2,4221,2618,1798,1800,10000,true,ILS
5I3,3,27743,2630,1800,1800,10000,true,ILS
5I3,4,27239,2629,1799,1800,10000,true,ILS
5I3,5,2938,2629,1799,1800,10000,true,ILS
5I4,1,26002,2649,1799,1800,10000,true,ILS
5I4,2,7015,2620,1800,1800,10000,true,ILS
5I4,3,1329,2640,1800,1800,10000,true,ILS
5I4,4,30090,2630,1800,1800,10000,true,ILS
5I4,5,22863,2660,1800,1800,10000,true,ILS
5I5,1,26156,2630,1800,1800,10000,true,ILS
5I5,2,9456,2639,1799,1800,10000,true,ILS
5I5,3,7589,2630,1800,1800,10000,true,ILS
5I5,4,24290,2640,1800,1800,10000,true,ILS
5I5,5,2929,2630,1800,1800,10000,true,ILS
6I1,1,24802,2773,1993,2000,10000,true,ILS
6I1,2,3549,2748,1998,2000,10000,true,ILS
6I1,3,16565,2760,2000,2000,10000,true,ILS
6I1,4,31649,2740,2000,2000,10000,true,ILS
6I1,5,8499,2760,2000,2000,10000,true,ILS
6I2,1,20353,2780,2000,2000,10000,true,ILS
6I2,2,9625,2760,2000,2000,10000,true,ILS
6I2,3,4556,2750,2000,2000,10000,true,ILS
6I2,4,17852,2750,2000,2000,10000,true,ILS
6I2,5,13488,2760,2000,2000,10000,true,ILS
6I3,1,26773,2750,2000,2000,10000,true,ILS
6I3,2,123,2759,1999,2000,10000,true,ILS
6I3,3,31476,2720,2000,2000,10000,true,ILS
6I3,4,4741,2770,2000,2000,10000,true,ILS
6I3,5,31035,2760,2000,2000,10000,true,ILS
6I4,1,20746,2739,1999,2000,10000,true,ILS
6I4,2,4399,2770,2000,2000,10000,true,ILS
6I4,3,16332,2740,2000,2000,10000,true,ILS
6I4,4,19236,2740,2000,2000,10000,true,ILS
