instance,run,seed,profit,weight,capacity,time_ms,valid,algorithm
10I1,1,29533,2504,1994,2000,194,true,VND
10I1,2,26466,2504,1994,2000,163,true,VND
10I1,3,9907,2504,1994,2000,167,true,VND
10I1,4,24534,2504,1994,2000,186,true,VND
10I1,5,738,2504,1994,2000,166,true,VND
10I2,1,16800,2497,1997,2000,165,true,VND
10I2,2,21830,2497,1997,2000,171,true,VND
10I2,3,15652,2497,1997,2000,166,true,VND
10I2,4,12465,2497,1997,2000,165,true,VND
10I2,5,11439,2497,1997,2000,163,true,VND
10I3,1,5173,2470,2000,2000,115,true,VND
10I3,2,18348,2470,2000,2000,115,true,VND
10I3,3,7682,2470,2000,2000,147,true,VND
10I3,4,8642,2470,2000,2000,116,true,VND
10I3,5,31690,2470,2000,2000,118,true,VND
10I4,1,16505,2450,2000,2000,133,true,VND
10I4,2,7282,2450,2000,2000,102,true,VND
10I4,3,8014,2450,2000,2000,103,true,VND
10I4,4,2161,2450,2000,2000,104,true,VND
10I4,5,1654,2450,2000,2000,102,true,VND
10I5,1,15426,2509,1999,2000,231,true,VND
10I5,2,18789,2509,1999,2000,176,true,VND
10I5,3,23354,2509,1999,2000,176,true,VND
10I5,4,25349,2509,1999,2000,226,true,VND
10I5,5,26513,2509,1999,2000,177,true,VND
1I1,1,10467,2213,1796,1800,27,true,VND
1I1,2,26411,2213,1796,1800,27,true,VND
1I1,3,5056,2213,1796,1800,27,true,VND
1I1,4,4806,2213,1796,1800,26,true,VND
1I1,5,479,2213,1796,1800,26,true,VND
1I2,1,23191,2330,1800,1800,41,true,VND
1I2,2,19623,2330,1800,1800,42,true,VND
1I2,3,18973,2330,1800,1800,42,true,VND
1I2,4,27129,2330,1800,1800,42,true,VND
1I2,5,15568,2330,1800,1800,42,true,VND
1I3,1,12357,2227,1797,1800,40,true,VND
1I3,2,28719,2227,1797,1800,37,true,VND
1I3,3,4196,2227,1797,1800,36,true,VND
1I3,4,21732,2227,1797,1800,36,true,VND
1I3,5,23811,2227,1797,1800,37,true,VND
1I4,1,29154,2224,1794,1800,42,true,VND
1I4,2,9920,2224,1794,1800,43,true,VND
1I4,3,16370,2224,1794,1800,43,true,VND
1I4,4,14369,2224,1794,1800,43,true,VND
1I4,5,14768,2224,1794,1800,44,true,VND
1I5,1,22615,2214,1794,1800,39,true,VND
1I5,2,13135,2214,1794,1800,39,true,VND
1I5,3,1968,2214,1794,1800,39,true,VND
1I5,4,15670,2214,1794,1800,40,true,VND
1I5,5,5437,2214,1794,1800,40,true,VND
