instance,run,seed,profit,weight,capacity,time_ms,valid,algorithm
10I1,1,26522,2540,2000,2000,10000,true,VNS
10I1,2,13342,2550,2000,2000,10000,true,VNS
10I1,3,27575,2577,1997,2000,10000,true,VNS
10I1,4,27537,2568,1998,2000,10000,true,VNS
10I1,5,14705,2560,2000,2000,10000,true,VNS
10I2,1,18931,2560,2000,2000,10000,true,VNS
10I2,2,21267,2570,2000,2000,10000,true,VNS
10I2,3,22757,2549,1999,2000,10000,true,VNS
10I2,4,19511,2530,2000,2000,10000,true,VNS
10I2,5,3979,2530,2000,2000,10000,true,VNS
10I3,1,30438,2520,2000,2000,10000,true,VNS
10I3,2,10186,2550,2000,2000,10000,true,VNS
10I3,3,17318,2530,2000,2000,10000,true,VNS
10I3,4,22056,2528,1998,2000,10000,true,VNS
10I3,5,20011,2520,2000,2000,10000,true,VNS
10I4,1,14874,2520,2000,2000,10000,true,VNS
10I4,2,1760,2520,2000,2000,10000,true,VNS
10I4,3,27841,2518,1998,2000,10000,true,VNS
10I4,4,3683,2529,1999,2000,10000,true,VNS
10I4,5,22102,2520,2000,2000,10000,true,VNS
10I5,1,24791,2549,1999,2000,10000,true,VNS
10I5,2,17123,2540,2000,2000,10000,true,VNS
10I5,3,28706,2540,2000,2000,10000,true,VNS
10I5,4,274,2540,2000,2000,10000,true,VNS
10I5,5,3843,2550,2000,2000,10000,true,VNS
1I1,1,14009,2297,1800,1800,10000,true,VNS
1I1,2,8879,2420,1799,1800,10000,true,VNS
1I1,3,4092,2430,1800,1800,10000,true,VNS
1I1,4,9014,2443,1800,1800,10000,true,VNS
1I1,5,21107,2446,1797,1800,10000,true,VNS
1I2,1,20725,2381,1800,1800,10000,true,VNS
1I2,2,23221,2461,1800,1800,10000,true,VNS
1I2,3,7181,2452,1800,1800,10000,true,VNS
1I2,4,19529,2461,1800,1800,10000,true,VNS
1I2,5,9443,2461,1800,1800,10000,true,VNS
1I3,1,27770,2266,1796,1800,10000,true,VNS
1I3,2,28160,2280,1800,1800,10000,true,VNS
1I3,3,15367,2280,1800,1800,10000,true,VNS
1I3,4,25423,2280,1800,1800,10000,true,VNS
1I3,5,27794,2280,1800,1800,10000,true,VNS
1I4,1,24271,2269,1799,1800,10000,true,VNS
1I4,2,16230,2248,1798,1800,10000,true,VNS
1I4,3,31579,2250,1800,1800,10000,true,VNS
1I4,4,23917,2270,1800,1800,10000,true,VNS
1I4,5,14690,2267,1797,1800,10000,true,VNS
1I5,1,21678,2270,1800,1800,10000,true,VNS
1I5,2,23040,2260,1800,1800,10000,true,VNS
1I5,3,18746,2260,1800,1800,10000,true,VNS
1I5,4,3091,2290,1800,1800,10000,true,VNS
1I5,5,28980,2250,1800,1800,10000,true,VNS
2I1,1,1408,2077,1797,1800,10000,true,VNS
2I1,2,2249,2050,1800,1800,10000,true,VNS
2I1,3,14617,2060,1800,1800,10000,true,VNS
2I1,4,10432,2059,1799,1800,10000,true,VNS
2I1,5,18058,2059,1799,1800,10000,true,VNS
2I2,1,27949,2066,1796,1800,10000,true,VNS
2I2,2,26136,2071,1791,1800,10000,true,VNS
2I2,3,7027,2066,1796,1800,10000,true,VNS
2I2,4,6553,2066,1796,1800,10000,true,VNS
2I2,5,20319,2066,1796,1800,10000,true,VNS
2I3,1,30026,2071,1800,1800,10000,true,VNS
2I3,2,639,2060,1800,1800,10000,true,VNS
2I3,3,24687,2032,1771,1800,10000,true,VNS
2I3,4,27303,2046,1766,1800,10000,true,VNS
2I3,5,2018,2046,1795,1800,10000,true,VNS
2I4,1,10517,2058,1798,1800,10000,true,VNS
2I4,2,1225,2062,1792,1800,10000,true,VNS
2I4,3,9544,2049,1799,1800,10000,true,VNS
2I4,4,29295,2059,1799,1800,10000,true,VNS
2I4,5,28760,2058,1798,1800,10000,true,VNS
2I5,1,25561,2069,1799,1800,10000,true,VNS
2I5,2,2325,2069,1799,1800,10000,true,VNS
2I5,3,17509,2069,1799,1800,10000,true,VNS
2I5,4,29791,2069,1799,1800,10000,true,VNS
2I5,5,22999,2057,1797,1800,10000,true,VNS
3I1,1,4018,1575,1385,1800,10000,true,VNS
3I1,2,188,1575,1385,1800,10000,true,VNS
3I1,3,29628,1575,1385,1800,10000,true,VNS
3I1,4,32094,1575,1385,1800,10000,true,VNS
3I1,5,21552,1575,1385,1800,10000,true,VNS
3I2,1,15451,1608,1438,1800,10000,true,VNS
3I2,2,2056,1608,1438,1800,10000,true,VNS
3I2,3,9870,1608,1438,1800,10000,true,VNS
3I2,4,23517,1608,1438,1800,10000,true,VNS
3I2,5,22166,1608,1438,1800,10000,true,VNS
3I3,1,2314,1678,1498,1800,10000,true,VNS
3I3,2,7588,1684,1504,1800,10000,true,VNS
3I3,3,12670,1684,1504,1800,10000,true,VNS
3I3,4,21577,1678,1498,1800,10000,true,VNS
3I3,5,19331,1684,1504,1800,10000,true,VNS
3I4,1,31786,1614,1444,1800,10000,true,VNS
3I4,2,12491,1614,1444,1800,10000,true,VNS
3I4,3,25996,1614,1444,1800,10000,true,VNS
3I4,4,16375,1614,1444,1800,10000,true,VNS
3I4,5,12699,1614,1444,1800,10000,true,VNS
3I5,1,28949,1635,1455,1800,10000,true,VNS
3I5,2,23313,1577,1397,1800,10000,true,VNS
3I5,3,11076,1577,1397,1800,10000,true,VNS
3I5,4,31323,1635,1455,1800,10000,true,VNS
3I5,5,20775,1577,1397,1800,10000,true,VNS
4I1,1,30040,1100,970,1800,10000,true,VNS
4I1,2,24654,1100,970,1800,10000,true,VNS
4I1,3,7813,1100,970,1800,10000,true,VNS
4I1,4,30284,1198,1058,1800,10000,true,VNS
4I1,5,18979,1198,1058,1800,10000,true,VNS
4I2,1,7528,1262,1132,1800,10000,true,VNS
4I2,2,23755,1262,1132,1800,10000,true,VNS
4I2,3,13331,1262,1132,1800,10000,true,VNS
4I2,4,28654,1262,1132,1800,10000,true,VNS
4I2,5,25560,1262,1132,1800,10000,true,VNS
4I3,1,17376,1294,1154,1800,10000,true,VNS
4I3,2,366,1249,1109,1800,10000,true,VNS
4I3,3,23112,1249,1109,1800,10000,true,VNS
4I3,4,4494,1294,1154,1800,10000,true,VNS
4I3,5,23547,1294,1154,1800,10000,true,VNS
4I4,1,5494,1209,1089,1800,10000,true,VNS
4I4,2,32349,1209,1089,1800,10000,true,VNS
4I4,3,16853,1209,1089,1800,10000,true,VNS
4I4,4,18507,1209,1089,1800,10000,true,VNS
4I4,5,10676,1209,1089,1800,10000,true,VNS
4I5,1,22129,1294,1144,1800,10000,true,VNS
4I5,2,9521,1126,976,1800,10000,true,VNS
4I5,3,13653,1308,1168,1800,10000,true,VNS
4I5,4,26961,1167,1027,1800,10000,true,VNS
4I5,5,2089,1105,965,1800,10000,true,VNS
5I1,1,22220,2590,1800,1800,10000,true,VNS
