nohup: ignoring input
>>> Building unified WSL target in build/ ...
cmake -S . -B build -G "Ninja" -DCMAKE_BUILD_TYPE=Release -DDCKP_ENABLE_SANITIZERS=OFF -DDCKP_ENABLE_HARDENING=ON 
-- Configuring done (0.8s)
-- Generating done (0.2s)
-- Build files have been written to: /mnt/c/Users/thall/Documents/dckp-sbpo/build
cmake --build build --parallel
ninja: no work to do.
[inst 1/100 | run 1/5] 10I1 -> profit=2540 (10000ms, valid=true)
[inst 1/100 | run 2/5] 10I1 -> profit=2559 (10000ms, valid=true)
[inst 1/100 | run 3/5] 10I1 -> profit=2550 (10000ms, valid=true)
[inst 1/100 | run 4/5] 10I1 -> profit=2580 (10000ms, valid=true)
[inst 1/100 | run 5/5] 10I1 -> profit=2530 (10000ms, valid=true)
[inst 2/100 | run 1/5] 10I2 -> profit=2543 (10000ms, valid=true)
[inst 2/100 | run 2/5] 10I2 -> profit=2538 (10000ms, valid=true)
[inst 2/100 | run 3/5] 10I2 -> profit=2538 (10000ms, valid=true)
[inst 2/100 | run 4/5] 10I2 -> profit=2539 (10000ms, valid=true)
[inst 2/100 | run 5/5] 10I2 -> profit=2540 (10000ms, valid=true)
[inst 3/100 | run 1/5] 10I3 -> profit=2530 (10000ms, valid=true)
[inst 3/100 | run 2/5] 10I3 -> profit=2549 (10000ms, valid=true)
[inst 3/100 | run 3/5] 10I3 -> profit=2550 (10000ms, valid=true)
[inst 3/100 | run 4/5] 10I3 -> profit=2570 (10000ms, valid=true)
[inst 3/100 | run 5/5] 10I3 -> profit=2560 (10000ms, valid=true)
[inst 4/100 | run 1/5] 10I4 -> profit=2480 (10000ms, valid=true)
[inst 4/100 | run 2/5] 10I4 -> profit=2540 (10000ms, valid=true)
[inst 4/100 | run 3/5] 10I4 -> profit=2539 (10000ms, valid=true)
[inst 4/100 | run 4/5] 10I4 -> profit=2549 (10000ms, valid=true)
[inst 4/100 | run 5/5] 10I4 -> profit=2529 (10000ms, valid=true)
[inst 5/100 | run 1/5] 10I5 -> profit=2560 (10000ms, valid=true)
[inst 5/100 | run 2/5] 10I5 -> profit=2530 (10000ms, valid=true)
[inst 5/100 | run 3/5] 10I5 -> profit=2550 (10000ms, valid=true)
[inst 5/100 | run 4/5] 10I5 -> profit=2560 (10000ms, valid=true)
[inst 5/100 | run 5/5] 10I5 -> profit=2530 (10000ms, valid=true)
[inst 6/100 | run 1/5] 1I1 -> profit=2445 (10000ms, valid=true)
[inst 6/100 | run 2/5] 1I1 -> profit=2493 (10000ms, valid=true)
[inst 6/100 | run 3/5] 1I1 -> profit=2411 (10000ms, valid=true)
[inst 6/100 | run 4/5] 1I1 -> profit=2495 (10000ms, valid=true)
[inst 6/100 | run 5/5] 1I1 -> profit=2545 (10000ms, valid=true)
[inst 7/100 | run 1/5] 1I2 -> profit=2522 (10000ms, valid=true)
[inst 7/100 | run 2/5] 1I2 -> profit=2470 (10000ms, valid=true)
[inst 7/100 | run 3/5] 1I2 -> profit=2527 (10000ms, valid=true)
[inst 7/100 | run 4/5] 1I2 -> profit=2491 (10000ms, valid=true)
[inst 7/100 | run 5/5] 1I2 -> profit=2421 (10000ms, valid=true)
[inst 8/100 | run 1/5] 1I3 -> profit=2290 (10000ms, valid=true)
[inst 8/100 | run 2/5] 1I3 -> profit=2280 (10000ms, valid=true)
[inst 8/100 | run 3/5] 1I3 -> profit=2280 (10000ms, valid=true)
[inst 8/100 | run 4/5] 1I3 -> profit=2287 (10000ms, valid=true)
[inst 8/100 | run 5/5] 1I3 -> profit=2286 (10000ms, valid=true)
[inst 9/100 | run 1/5] 1I4 -> profit=2270 (10000ms, valid=true)
[inst 9/100 | run 2/5] 1I4 -> profit=2279 (10000ms, valid=true)
[inst 9/100 | run 3/5] 1I4 -> profit=2270 (10000ms, valid=true)
[inst 9/100 | run 4/5] 1I4 -> profit=2280 (10000ms, valid=true)
[inst 9/100 | run 5/5] 1I4 -> profit=2277 (10000ms, valid=true)
[inst 10/100 | run 1/5] 1I5 -> profit=2290 (10000ms, valid=true)
[inst 10/100 | run 2/5] 1I5 -> profit=2300 (10000ms, valid=true)
[inst 10/100 | run 3/5] 1I5 -> profit=2300 (10000ms, valid=true)
[inst 10/100 | run 4/5] 1I5 -> profit=2290 (10000ms, valid=true)
[inst 10/100 | run 5/5] 1I5 -> profit=2300 (10000ms, valid=true)
[inst 11/100 | run 1/5] 2I1 -> profit=1835 (10000ms, valid=true)
[inst 11/100 | run 2/5] 2I1 -> profit=1835 (10000ms, valid=true)
[inst 11/100 | run 3/5] 2I1 -> profit=1835 (10000ms, valid=true)
[inst 11/100 | run 4/5] 2I1 -> profit=1835 (10000ms, valid=true)
