nohup: ignoring input
>>> Building unified WSL target in build/ ...
cmake -S . -B build -G "Ninja" -DCMAKE_BUILD_TYPE=Release -DDCKP_ENABLE_SANITIZERS=OFF -DDCKP_ENABLE_HARDENING=ON 
-- Configuring done (0.8s)
-- Generating done (0.2s)
-- Build files have been written to: /mnt/c/Users/thall/Documents/dckp-sbpo/build
cmake --build build --parallel
ninja: no work to do.
[inst 1/100 | run 1/5] 10I1 -> profit=2504 (194ms, valid=true)
[inst 1/100 | run 2/5] 10I1 -> profit=2504 (163ms, valid=true)
[inst 1/100 | run 3/5] 10I1 -> profit=2504 (167ms, valid=true)
[inst 1/100 | run 4/5] 10I1 -> profit=2504 (186ms, valid=true)
[inst 1/100 | run 5/5] 10I1 -> profit=2504 (166ms, valid=true)
[inst 2/100 | run 1/5] 10I2 -> profit=2497 (165ms, valid=true)
[inst 2/100 | run 2/5] 10I2 -> profit=2497 (171ms, valid=true)
[inst 2/100 | run 3/5] 10I2 -> profit=2497 (166ms, valid=true)
[inst 2/100 | run 4/5] 10I2 -> profit=2497 (165ms, valid=true)
[inst 2/100 | run 5/5] 10I2 -> profit=2497 (163ms, valid=true)
[inst 3/100 | run 1/5] 10I3 -> profit=2470 (115ms, valid=true)
[inst 3/100 | run 2/5] 10I3 -> profit=2470 (115ms, valid=true)
[inst 3/100 | run 3/5] 10I3 -> profit=2470 (147ms, valid=true)
[inst 3/100 | run 4/5] 10I3 -> profit=2470 (116ms, valid=true)
[inst 3/100 | run 5/5] 10I3 -> profit=2470 (118ms, valid=true)
[inst 4/100 | run 1/5] 10I4 -> profit=2450 (133ms, valid=true)
[inst 4/100 | run 2/5] 10I4 -> profit=2450 (102ms, valid=true)
[inst 4/100 | run 3/5] 10I4 -> profit=2450 (103ms, valid=true)
[inst 4/100 | run 4/5] 10I4 -> profit=2450 (104ms, valid=true)
[inst 4/100 | run 5/5] 10I4 -> profit=2450 (102ms, valid=true)
[inst 5/100 | run 1/5] 10I5 -> profit=2509 (231ms, valid=true)
[inst 5/100 | run 2/5] 10I5 -> profit=2509 (176ms, valid=true)
[inst 5/100 | run 3/5] 10I5 -> profit=2509 (176ms, valid=true)
[inst 5/100 | run 4/5] 10I5 -> profit=2509 (226ms, valid=true)
[inst 5/100 | run 5/5] 10I5 -> profit=2509 (177ms, valid=true)
[inst 6/100 | run 1/5] 1I1 -> profit=2213 (27ms, valid=true)
[inst 6/100 | run 2/5] 1I1 -> profit=2213 (27ms, valid=true)
[inst 6/100 | run 3/5] 1I1 -> profit=2213 (27ms, valid=true)
[inst 6/100 | run 4/5] 1I1 -> profit=2213 (26ms, valid=true)
[inst 6/100 | run 5/5] 1I1 -> profit=2213 (26ms, valid=true)
[inst 7/100 | run 1/5] 1I2 -> profit=2330 (41ms, valid=true)
[inst 7/100 | run 2/5] 1I2 -> profit=2330 (42ms, valid=true)
[inst 7/100 | run 3/5] 1I2 -> profit=2330 (42ms, valid=true)
[inst 7/100 | run 4/5] 1I2 -> profit=2330 (42ms, valid=true)
[inst 7/100 | run 5/5] 1I2 -> profit=2330 (42ms, valid=true)
[inst 8/100 | run 1/5] 1I3 -> profit=2227 (40ms, valid=true)
[inst 8/100 | run 2/5] 1I3 -> profit=2227 (37ms, valid=true)
[inst 8/100 | run 3/5] 1I3 -> profit=2227 (36ms, valid=true)
[inst 8/100 | run 4/5] 1I3 -> profit=2227 (36ms, valid=true)
[inst 8/100 | run 5/5] 1I3 -> profit=2227 (37ms, valid=true)
[inst 9/100 | run 1/5] 1I4 -> profit=2224 (42ms, valid=true)
[inst 9/100 | run 2/5] 1I4 -> profit=2224 (43ms, valid=true)
[inst 9/100 | run 3/5] 1I4 -> profit=2224 (43ms, valid=true)
[inst 9/100 | run 4/5] 1I4 -> profit=2224 (43ms, valid=true)
[inst 9/100 | run 5/5] 1I4 -> profit=2224 (44ms, valid=true)
[inst 10/100 | run 1/5] 1I5 -> profit=2214 (39ms, valid=true)
[inst 10/100 | run 2/5] 1I5 -> profit=2214 (39ms, valid=true)
[inst 10/100 | run 3/5] 1I5 -> profit=2214 (39ms, valid=true)
[inst 10/100 | run 4/5] 1I5 -> profit=2214 (40ms, valid=true)
[inst 10/100 | run 5/5] 1I5 -> profit=2214 (40ms, valid=true)
[inst 11/100 | run 1/5] 2I1 -> profit=1835 (1ms, valid=true)
[inst 11/100 | run 2/5] 2I1 -> profit=1835 (1ms, valid=true)
[inst 11/100 | run 3/5] 2I1 -> profit=1835 (1ms, valid=true)
[inst 11/100 | run 4/5] 2I1 -> profit=1835 (1ms, valid=true)
[inst 11/100 | run 5/5] 2I1 -> profit=1835 (1ms, valid=true)
[inst 12/100 | run 1/5] 2I2 -> profit=1947 (1ms, valid=true)
[inst 12/100 | run 2/5] 2I2 -> profit=1947 (1ms, valid=true)
[inst 12/100 | run 3/5] 2I2 -> profit=1947 (1ms, valid=true)
[inst 12/100 | run 4/5] 2I2 -> profit=1947 (1ms, valid=true)
[inst 12/100 | run 5/5] 2I2 -> profit=1947 (1ms, valid=true)
[inst 13/100 | run 1/5] 2I3 -> profit=1925 (1ms, valid=true)
[inst 13/100 | run 2/5] 2I3 -> profit=1925 (2ms, valid=true)
[inst 13/100 | run 3/5] 2I3 -> profit=1925 (1ms, valid=true)
[inst 13/100 | run 4/5] 2I3 -> profit=1925 (1ms, valid=true)
[inst 13/100 | run 5/5] 2I3 -> profit=1925 (1ms, valid=true)
[inst 14/100 | run 1/5] 2I4 -> profit=1985 (1ms, valid=true)
[inst 14/100 | run 2/5] 2I4 -> profit=1985 (1ms, valid=true)
[inst 14/100 | run 3/5] 2I4 -> profit=1985 (1ms, valid=true)
[inst 14/100 | run 4/5] 2I4 -> profit=1985 (1ms, valid=true)
[inst 14/100 | run 5/5] 2I4 -> profit=1985 (1ms, valid=true)
[inst 15/100 | run 1/5] 2I5 -> profit=2029 (1ms, valid=true)
[inst 15/100 | run 2/5] 2I5 -> profit=2029 (1ms, valid=true)
[inst 15/100 | run 3/5] 2I5 -> profit=2029 (1ms, valid=true)
[inst 15/100 | run 4/5] 2I5 -> profit=2029 (1ms, valid=true)
[inst 15/100 | run 5/5] 2I5 -> profit=2029 (1ms, valid=true)
[inst 16/100 | run 1/5] 3I1 -> profit=1533 (1ms, valid=true)
[inst 16/100 | run 2/5] 3I1 -> profit=1533 (1ms, valid=true)
[inst 16/100 | run 3/5] 3I1 -> profit=1533 (1ms, valid=true)
[inst 16/100 | run 4/5] 3I1 -> profit=1533 (1ms, valid=true)
[inst 16/100 | run 5/5] 3I1 -> profit=1533 (1ms, valid=true)
[inst 17/100 | run 1/5] 3I2 -> profit=1577 (1ms, valid=true)
[inst 17/100 | run 2/5] 3I2 -> profit=1577 (1ms, valid=true)
[inst 17/100 | run 3/5] 3I2 -> profit=1577 (1ms, valid=true)
