nohup: ignoring input
>>> Building unified WSL target in build/ ...
cmake -S . -B build -G "Ninja" -DCMAKE_BUILD_TYPE=Release -DDCKP_ENABLE_SANITIZERS=OFF -DDCKP_ENABLE_HARDENING=ON 
-- Configuring done (0.7s)
-- Generating done (0.2s)
-- Build files have been written to: /mnt/c/Users/thall/Documents/dckp-sbpo/build
cmake --build build --parallel
ninja: no work to do.
[inst 1/100 | run 1/5] 10I1 -> profit=2540 (10000ms, valid=true)
[inst 1/100 | run 2/5] 10I1 -> profit=2550 (10000ms, valid=true)
[inst 1/100 | run 3/5] 10I1 -> profit=2577 (10000ms, valid=true)
[inst 1/100 | run 4/5] 10I1 -> profit=2568 (10000ms, valid=true)
[inst 1/100 | run 5/5] 10I1 -> profit=2560 (10000ms, valid=true)
[inst 2/100 | run 1/5] 10I2 -> profit=2560 (10000ms, valid=true)
[inst 2/100 | run 2/5] 10I2 -> profit=2570 (10000ms, valid=true)
[inst 2/100 | run 3/5] 10I2 -> profit=2549 (10000ms, valid=true)
[inst 2/100 | run 4/5] 10I2 -> profit=2530 (10000ms, valid=true)
[inst 2/100 | run 5/5] 10I2 -> profit=2530 (10000ms, valid=true)
[inst 3/100 | run 1/5] 10I3 -> profit=2520 (10000ms, valid=true)
[inst 3/100 | run 2/5] 10I3 -> profit=2550 (10000ms, valid=true)
[inst 3/100 | run 3/5] 10I3 -> profit=2530 (10000ms, valid=true)
[inst 3/100 | run 4/5] 10I3 -> profit=2528 (10000ms, valid=true)
[inst 3/100 | run 5/5] 10I3 -> profit=2520 (10000ms, valid=true)
[inst 4/100 | run 1/5] 10I4 -> profit=2520 (10000ms, valid=true)
[inst 4/100 | run 2/5] 10I4 -> profit=2520 (10000ms, valid=true)
[inst 4/100 | run 3/5] 10I4 -> profit=2518 (10000ms, valid=true)
[inst 4/100 | run 4/5] 10I4 -> profit=2529 (10000ms, valid=true)
[inst 4/100 | run 5/5] 10I4 -> profit=2520 (10000ms, valid=true)
[inst 5/100 | run 1/5] 10I5 -> profit=2549 (10000ms, valid=true)
[inst 5/100 | run 2/5] 10I5 -> profit=2540 (10000ms, valid=true)
[inst 5/100 | run 3/5] 10I5 -> profit=2540 (10000ms, valid=true)
[inst 5/100 | run 4/5] 10I5 -> profit=2540 (10000ms, valid=true)
[inst 5/100 | run 5/5] 10I5 -> profit=2550 (10000ms, valid=true)
[inst 6/100 | run 1/5] 1I1 -> profit=2297 (10000ms, valid=true)
[inst 6/100 | run 2/5] 1I1 -> profit=2420 (10000ms, valid=true)
[inst 6/100 | run 3/5] 1I1 -> profit=2430 (10000ms, valid=true)
[inst 6/100 | run 4/5] 1I1 -> profit=2443 (10000ms, valid=true)
[inst 6/100 | run 5/5] 1I1 -> profit=2446 (10000ms, valid=true)
[inst 7/100 | run 1/5] 1I2 -> profit=2381 (10000ms, valid=true)
[inst 7/100 | run 2/5] 1I2 -> profit=2461 (10000ms, valid=true)
[inst 7/100 | run 3/5] 1I2 -> profit=2452 (10000ms, valid=true)
